Source,Destination,Protocol,Length,Info,Malicious
106,119,12,54,52375,0
142,95,12,1514,24948,0
106,70,12,54,54466,1
142,95,14,1514,68541,0
46,95,14,1466,68541,0
142,95,12,1514,21977,1
48,95,14,1466,68541,0
142,95,12,1514,25338,0
48,95,14,1466,68541,0
106,134,12,54,48808,1
121,95,12,1514,37342,1
220,95,12,1462,41914,1
148,95,12,1514,34385,0
19,95,12,60,13344,1
106,70,12,54,54665,0
106,40,12,54,62387,1
105,135,5,60,69071,1
45,95,14,501,68541,0
48,95,14,513,68541,1
155,95,12,1514,8283,1
106,53,12,54,61103,1
80,95,14,1466,68541,0
142,95,12,1514,25049,0
106,70,12,54,53820,1
157,95,12,1514,14652,0
18,95,14,101,68541,0
55,95,14,228,68541,1
106,40,12,66,70816,1
106,45,12,54,60841,0
43,95,14,1466,68541,1
142,95,12,1514,23948,0
220,95,12,1462,44026,0
106,70,14,222,68541,1
106,42,12,54,46996,1
106,70,12,54,54049,1
43,95,14,1466,68541,0
155,95,12,1514,8604,0
106,65,12,54,4701,1
220,95,12,1462,39425,0
70,95,12,1514,28511,0
70,95,12,1514,27995,0
149,95,12,1514,36954,1
106,47,12,54,56726,1
122,95,12,1514,31206,1
62,95,14,161,68541,0
142,95,12,1514,24051,1
106,134,12,54,49442,1
142,95,12,1514,21277,0
106,52,12,54,693,1
220,95,12,1462,44249,1
220,95,12,1462,40999,1
65,95,12,1510,12520,1
220,95,12,1462,40940,1
128,95,12,60,12864,1
55,95,14,1466,68541,0
106,47,12,54,56571,1
220,95,12,1462,45004,1
106,119,12,54,51810,0
64,95,12,60,6848,1
107,95,5,98,69041,0
48,95,14,1466,68541,0
106,125,12,54,59646,1
106,86,14,93,68541,1
106,119,12,54,50903,1
48,95,14,1466,68541,0
142,95,12,1514,23510,1
220,95,12,1462,42783,1
75,95,14,1466,68541,1
121,95,12,1514,38424,0
48,95,14,1466,68541,1
106,96,5,98,69539,0
106,198,12,54,66764,0
53,95,14,1466,68541,0
106,59,12,54,60182,0
106,133,12,74,61386,0
122,95,12,1514,32486,1
157,95,12,1514,18615,1
106,132,12,54,2252,0
53,95,12,60,34775,1
220,95,12,1462,40336,0
107,95,5,98,68904,1
106,155,14,567,68565,0
74,95,14,85,68541,1
155,95,12,1514,8254,1
122,95,12,1514,31427,1
46,95,14,1466,68541,0
196,95,14,1466,68541,1
106,37,12,54,68175,0
53,95,14,1466,68541,0
